prodcodeid,dmdid,termfromemis,productname,formulation,routeofadministration,drugsubstancename,substancestrength,bnfchapter,groups
"1144241000033110","","Pulmicort Refill canister 200 micrograms/dose","","","","","","","ics"
"1144341000033117","","Pulmicort Ls Refill canister 50 micrograms/dose","","","","","","","ics"
"1144841000033114","","Pulmicort Spacer inhaler 200 micrograms/dose","","","","","","","ics"
"1144941000033118","","Pulmicort Spacer inhaler 50 micrograms/dose","","","","","","","ics"
"1145141000033119","3112411000001105","Pulmicort 200 Turbohaler (AstraZeneca UK Ltd)","Pulmicort 200 Turbohaler","Inhalation powder","Inhalation","Budesonide","200.000microgram/1.000dose","3020000","ics"
"1145241000033114","3228711000001106","Pulmicort 400 Turbohaler (AstraZeneca UK Ltd)","Pulmicort 400 Turbohaler","Inhalation powder","Inhalation","Budesonide","400.000microgram/1.000dose","3020000","ics"
"1145341000033116","3113111000001106","Pulmicort 100 Turbohaler (AstraZeneca UK Ltd)","Pulmicort 100 Turbohaler","Inhalation powder","Inhalation","Budesonide","100.000microgram/1.000dose","3020000","ics"
"11507841000033115","32611811000001105","Prednisolone 1mg gastro-resistant tablets","Prednisolone 1mg gastro-resistant tablets","Gastro-resistant tablet","Oral","Prednisolone","1.000mg","","ocs"
"11664841000033116","32781411000001102","Prednisolone 30mg tablets","Prednisolone 30mg tablets","Tablet","Oral","Prednisolone","30.000mg","","ocs"
"11707241000033115","32960711000001105","Budesonide 200micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free","Budesonide 200micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free","Pressurised inhalation","Inhalation","Budesonide/ Formoterol fumarate dihydrate","200.000microgram/1.000dose + 6.000microgram/1.000dose","","laba_ics"
"11707341000033113","32926011000001100","Symbicort 200micrograms/dose / 6micrograms/dose pressurised inhaler (AstraZeneca UK Ltd)","Symbicort 200micrograms/dose / 6micrograms/dose pressurised inhaler","Pressurised inhalation","Inhalation","Budesonide/ Formoterol fumarate dihydrate","200.000microgram/1.000dose + 6.000microgram/1.000dose","","laba_ics"
"11782841000033117","33561211000001109","Soltel 25micrograms/dose inhaler CFC free (Cipla EU Ltd)","Soltel 25micrograms/dose inhaler CFC free","Pressurised inhalation","Inhalation","Salmeterol xinafoate","25.000microgram/1.000dose","","laba"
"11788941000033110","33596311000001107","Tiotropium bromide 10microgram inhalation powder capsules with device","Tiotropium bromide 10microgram inhalation powder capsules with device","Inhalation powder","Inhalation","Tiotropium bromide","10.000microgram","","lama"
"11789041000033118","33594911000001100","Braltus 10microgram inhalation powder capsules with Zonda inhaler (Teva UK Ltd)","Braltus 10microgram inhalation powder capsules with Zonda inhaler","Inhalation powder","Inhalation","Tiotropium bromide","10.000microgram","","lama"
"12046641000033114","34023611000001101","Sereflo 25micrograms/dose / 125micrograms/dose inhaler (Cipla EU Ltd)","Sereflo 25micrograms/dose / 125micrograms/dose inhaler","Pressurised inhalation","Inhalation","Fluticasone propionate/ Salmeterol xinafoate","125.000microgram/1.000dose + 25.000microgram/1.000dose","3020000","laba_ics"
"12046741000033117","34023811000001102","Sereflo 25micrograms/dose / 250micrograms/dose inhaler (Cipla EU Ltd)","Sereflo 25micrograms/dose / 250micrograms/dose inhaler","Pressurised inhalation","Inhalation","Fluticasone propionate/ Salmeterol xinafoate","250.000microgram/1.000dose + 25.000microgram/1.000dose","3020000","laba_ics"
"1205941000033113","","Salmeterol Xinafoate Accuhaler 50 micrograms/dose","","","","","","","laba"
"1206041000033115","","Salbutamol Accuhaler 200 micrograms/dose","","","","","","","saba"
"1206241000033111","","Salbutamol Aerosol inhalation 100 micrograms/metered inhalation","","","","","","","saba"
"1206341000033118","39110811000001105","Salmeterol 25micrograms/dose inhaler","Salmeterol 25micrograms/dose inhaler","Pressurised inhalation","Inhalation","Salmeterol xinafoate","25.000microgram/1.000dose","3010101","laba"
"1207741000033115","","Salbutamol Autohaler 100 micrograms/puff","","","","","","","saba"
"12197841000033113","34215311000001107","AirFluSal 25micrograms/dose / 125micrograms/dose inhaler (Sandoz Ltd)","AirFluSal 25micrograms/dose / 125micrograms/dose inhaler","Pressurised inhalation","Inhalation","Fluticasone propionate/ Salmeterol xinafoate","125.000microgram/1.000dose + 25.000microgram/1.000dose","","laba_ics"
"12197941000033117","34215511000001101","AirFluSal 25micrograms/dose / 250micrograms/dose inhaler (Sandoz Ltd)","AirFluSal 25micrograms/dose / 250micrograms/dose inhaler","Pressurised inhalation","Inhalation","Fluticasone propionate/ Salmeterol xinafoate","250.000microgram/1.000dose + 25.000microgram/1.000dose","","laba_ics"
"1221341000033118","","Salamol Easi-Breathe Breath-actuated inhaler 100 micrograms/puff","","","","","","","saba"
"1221441000033112","35936411000001109","Salbutamol 100micrograms/dose breath actuated inhaler","Salbutamol 100micrograms/dose breath actuated inhaler","Pressurised inhalation","Inhalation","Salbutamol sulfate","100.000microgram/1.000dose","3010101","saba"
"1221541000033113","","Salbutamol Breath-actuated inhaler 95 micrograms/dose","","","","","","","saba"
"1222341000033110","39113611000001102","Salbutamol 100micrograms/dose inhaler CFC free","Salbutamol 100micrograms/dose inhaler CFC free","Pressurised inhalation","Inhalation","Salbutamol sulfate","100.000microgram/1.000dose","3010101","saba"
"1228341000033112","","Salbutamol Cyclocaps 200 micrograms","","","","","","","saba"
"1228441000033118","","Salbutamol Cyclocaps 400 micrograms","","","","","","","saba"
"1228741000033113","","Salmeterol Xinafoate Disks with diskhaler 50 micrograms/blister","","","","","","","laba"
"1228841000033115","35936711000001103","Salbutamol 200microgram inhalation powder blisters with device","Salbutamol 200microgram inhalation powder blisters with device","Inhalation powder","Inhalation","Salbutamol sulfate","200.000microgram","","saba"
"1228941000033111","35936911000001101","Salbutamol 400microgram inhalation powder blisters with device","Salbutamol 400microgram inhalation powder blisters with device","Inhalation powder","Inhalation","Salbutamol sulfate","400.000microgram","","saba"
"12364641000033110","34681611000001100","Trimbow 87micrograms/dose / 5micrograms/dose / 9micrograms/dose inhaler (Chiesi Ltd)","Trimbow 87micrograms/dose / 5micrograms/dose / 9micrograms/dose inhaler","Pressurised inhalation","Inhalation","Beclometasone dipropionate/ Formoterol fumarate dihydrate/ Glycopyrronium bromide","87.000microgram/1.000dose + 5.000microgram/1.000dose + 9.000microgram/1.000dose","","triple"
"12370841000033110","34677011000001107","Aloflute 25micrograms/dose / 125micrograms/dose inhaler (Mylan)","Aloflute 25micrograms/dose / 125micrograms/dose inhaler","Pressurised inhalation","Inhalation","Fluticasone propionate/ Salmeterol xinafoate","125.000microgram/1.000dose + 25.000microgram/1.000dose","","laba_ics"
"12370941000033119","34675711000001103","Aloflute 25micrograms/dose / 250micrograms/dose inhaler (Mylan)","Aloflute 25micrograms/dose / 250micrograms/dose inhaler","Pressurised inhalation","Inhalation","Fluticasone propionate/ Salmeterol xinafoate","250.000microgram/1.000dose + 25.000microgram/1.000dose","","laba_ics"
"12395841000033112","370375008","Cefixime 400mg tablets","Cefixime 400mg tablets","Tablet","Oral","Cefixime","400.000mg","","abx"
"12403741000033110","34812111000001106","Fobumix Easyhaler 320micrograms/dose / 9micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)","Fobumix Easyhaler 320micrograms/dose / 9micrograms/dose dry powder inhaler","Inhalation powder","Inhalation","Budesonide/ Formoterol fumarate dihydrate","400.000microgram/1.000dose + 12.000microgram/1.000dose","","laba_ics"
"1241241000033114","","Salamol Inhaler 100 micrograms/puff","","","","","","","saba"
"1241341000033116","840111000001107","Salbulin 100micrograms/dose inhaler (3M Health Care Ltd)","Salbulin 100micrograms/dose inhaler","Pressurised inhalation","Inhalation","Salbutamol sulfate","100.000microgram/1.000dose","3010101","saba"
"1241441000033110","35936511000001108","Salbutamol 100micrograms/dose inhaler","Salbutamol 100micrograms/dose inhaler","Pressurised inhalation","Inhalation","Salbutamol","100.000microgram/1.000dose","3010101","saba"
"1241941000033117","","Salbutamol Inhaler with vortex generating actuator 100 micrograms/dose","","","","","","","saba"
"12430741000033111","34950311000001108","Fobumix Easyhaler 160micrograms/dose / 4.5micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)","Fobumix Easyhaler 160micrograms/dose / 4.5micrograms/dose dry powder inhaler","Inhalation powder","Inhalation","Budesonide/ Formoterol fumarate dihydrate","200.000microgram/1.000dose + 6.000microgram/1.000dose","","laba_ics"
"12431141000033117","34952211000001104","Trelegy Ellipta 92micrograms/dose / 55micrograms/dose / 22micrograms/dose dry powder inhaler (GlaxoSmithKline UK Ltd)","Trelegy Ellipta 92micrograms/dose / 55micrograms/dose / 22micrograms/dose dry powder inhaler","Inhalation powder","Inhalation","Fluticasone furoate/ Umeclidinium bromide/ Vilanterol trifenatate","92.000microgram/1.000dose + 65.000microgram/1.000dose + 22.000microgram/1.000dose","","triple"
"12434441000033111","34950611000001103","Fobumix Easyhaler 80micrograms/dose / 4.5micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)","Fobumix Easyhaler 80micrograms/dose / 4.5micrograms/dose dry powder inhaler","Inhalation powder","Inhalation","Budesonide/ Formoterol fumarate dihydrate","100.000microgram/1.000dose + 6.000microgram/1.000dose","","laba_ics"
"1250141000033112","35936611000001107","Salbutamol 200microgram inhalation powder blisters","Salbutamol 200microgram inhalation powder blisters","Inhalation powder","Inhalation","Salbutamol sulfate","200.000microgram","","saba"
"1250241000033117","35936811000001106","Salbutamol 400microgram inhalation powder blisters","Salbutamol 400microgram inhalation powder blisters","Inhalation powder","Inhalation","Salbutamol sulfate","400.000microgram","","saba"
"1252041000033114","35938011000001101","Salmeterol 50microgram inhalation powder blisters","Salmeterol 50microgram inhalation powder blisters","Inhalation powder","Inhalation","Salmeterol xinafoate","50.000microgram","3010101","laba"
"1252241000033118","","Salbutamol Rotacaps 200 micrograms","","","","","","","saba"
"1252341000033111","","Salbutamol Rotacaps 400 micrograms","","","","","","","saba"
"1252441000033117","","Salbutamol Rotahaler 1","","","","","","","saba"
"12529241000033119","35515511000001100","Fusacomb Easyhaler 50micrograms/dose / 250micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)","Fusacomb Easyhaler 50micrograms/dose / 250micrograms/dose dry powder inhaler","Inhalation powder","Inhalation","Fluticasone propionate/ Salmeterol xinafoate","250.000microgram/1.000dose + 50.000microgram/1.000dose","","laba_ics"
"12529341000033112","35515311000001106","Fusacomb Easyhaler 50micrograms/dose / 500micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)","Fusacomb Easyhaler 50micrograms/dose / 500micrograms/dose dry powder inhaler","Inhalation powder","Inhalation","Fluticasone propionate/ Salmeterol xinafoate","500.000microgram/1.000dose + 50.000microgram/1.000dose","","laba_ics"
"12530441000033112","35430311000001103","Kelhale 100micrograms/dose inhaler (Cipla EU Ltd)","Kelhale 100micrograms/dose inhaler","Pressurised inhalation","Inhalation","Beclometasone dipropionate","100.000microgram/1.000dose","","ics"
"12530541000033113","35430111000001100","Kelhale 50micrograms/dose inhaler (Cipla EU Ltd)","Kelhale 50micrograms/dose inhaler","Pressurised inhalation","Inhalation","Beclometasone dipropionate","50.000microgram/1.000dose","","ics"
"1255041000033118","","Salbutamol Spacehaler 100 micrograms/puff","","","","","","","saba"
"12579341000033113","35594011000001105","Combisal 25micrograms/dose / 50micrograms/dose inhaler (Aspire Pharma Ltd)","Combisal 25micrograms/dose / 50micrograms/dose inhaler","Pressurised inhalation","Inhalation","Fluticasone propionate/ Salmeterol xinafoate","50.000microgram/1.000dose + 25.000microgram/1.000dose","","laba_ics"
"12579441000033119","35594211000001100","Combisal 25micrograms/dose / 125micrograms/dose inhaler (Aspire Pharma Ltd)","Combisal 25micrograms/dose / 125micrograms/dose inhaler","Pressurised inhalation","Inhalation","Fluticasone propionate/ Salmeterol xinafoate","125.000microgram/1.000dose + 25.000microgram/1.000dose","","laba_ics"
"12579541000033118","35594411000001101","Combisal 25micrograms/dose / 250micrograms/dose inhaler (Aspire Pharma Ltd)","Combisal 25micrograms/dose / 250micrograms/dose inhaler","Pressurised inhalation","Inhalation","Fluticasone propionate/ Salmeterol xinafoate","250.000microgram/1.000dose + 25.000microgram/1.000dose","","laba_ics"
"12634941000033116","35647511000001107","Fluticasone 125micrograms/dose / Formoterol 5micrograms/dose breath actuated inhaler CFC free","Fluticasone 125micrograms/dose / Formoterol 5micrograms/dose breath actuated inhaler CFC free","Pressurised inhalation/ Inhalation vapour","Inhalation","Fluticasone propionate/ Formoterol fumarate dihydrate","125.000microgram/1.000dose + 5.000microgram/1.000dose","","laba_ics"
"12635041000033116","35647611000001106","Fluticasone 50micrograms/dose / Formoterol 5micrograms/dose breath actuated inhaler CFC free","Fluticasone 50micrograms/dose / Formoterol 5micrograms/dose breath actuated inhaler CFC free","Pressurised inhalation/ Inhalation vapour","Inhalation","Fluticasone propionate/ Formoterol fumarate dihydrate","50.000microgram/1.000dose + 5.000microgram/1.000dose","","laba_ics"
"12635141000033117","35647311000001101","Flutiform K-haler 125micrograms/dose / 5micrograms/dose breath actuated inhaler (Napp Pharmaceuticals Ltd)","Flutiform K-haler 125micrograms/dose / 5micrograms/dose breath actuated inhaler","Pressurised inhalation/ Inhalation vapour","Inhalation","Fluticasone propionate/ Formoterol fumarate dihydrate","125.000microgram/1.000dose + 5.000microgram/1.000dose","","laba_ics"
"12635241000033112","35650811000001109","Flutiform K-haler 50micrograms/dose / 5micrograms/dose breath actuated inhaler (Napp Pharmaceuticals Ltd)","Flutiform K-haler 50micrograms/dose / 5micrograms/dose breath actuated inhaler","Pressurised inhalation/ Inhalation vapour","Inhalation","Fluticasone propionate/ Formoterol fumarate dihydrate","50.000microgram/1.000dose + 5.000microgram/1.000dose","","laba_ics"
"1267441000033114","3380111000001107","Serevent 50micrograms/dose Accuhaler (GlaxoSmithKline UK Ltd)","Serevent 50micrograms/dose Accuhaler","Inhalation powder","Inhalation","Salmeterol xinafoate","50.000microgram/1.000dose","3010101","laba"
"1267641000033111","408911000001105","Serevent 25micrograms/dose inhaler (GlaxoSmithKline UK Ltd)","Serevent 25micrograms/dose inhaler","Pressurised inhalation","Inhalation","Salmeterol xinafoate","25.000microgram/1.000dose","","laba"
"1268941000033117","3084011000001103","Serevent 50microgram disks with Diskhaler (GlaxoSmithKline UK Ltd)","Serevent 50microgram disks with Diskhaler","Inhalation powder","Inhalation","Salmeterol xinafoate","50.000microgram","","laba"
"1272941000033113","3082411000001100","Serevent 50microgram disks (GlaxoSmithKline UK Ltd)","Serevent 50microgram disks","Inhalation powder","Inhalation","Salmeterol xinafoate","50.000microgram","3010101","laba"
"12901341000033112","36603211000001106","Soprobec 50micrograms/dose inhaler (Glenmark Pharmaceuticals Europe Ltd)","Soprobec 50micrograms/dose inhaler","Pressurised inhalation","Inhalation","Beclometasone dipropionate","50.000microgram/1.000dose","","ics"
"12901441000033118","36603611000001108","Soprobec 100micrograms/dose inhaler (Glenmark Pharmaceuticals Europe Ltd)","Soprobec 100micrograms/dose inhaler","Pressurised inhalation","Inhalation","Beclometasone dipropionate","100.000microgram/1.000dose","","ics"
"12901541000033117","36603411000001105","Soprobec 200micrograms/dose inhaler (Glenmark Pharmaceuticals Europe Ltd)","Soprobec 200micrograms/dose inhaler","Pressurised inhalation","Inhalation","Beclometasone dipropionate","200.000microgram/1.000dose","","ics"
"12901641000033116","36603811000001107","Soprobec 250micrograms/dose inhaler (Glenmark Pharmaceuticals Europe Ltd)","Soprobec 250micrograms/dose inhaler","Pressurised inhalation","Inhalation","Beclometasone dipropionate","250.000microgram/1.000dose","","ics"
"12901741000033113","36604711000001102","Stalpex 50micrograms/dose / 500micrograms/dose dry powder inhaler (Glenmark Pharmaceuticals Europe Ltd)","Stalpex 50micrograms/dose / 500micrograms/dose dry powder inhaler","Inhalation powder","Inhalation","Fluticasone propionate/ Salmeterol xinafoate","500.000microgram/1.000dose + 50.000microgram/1.000dose","","laba_ics"
"13178541000033111","37692511000001100","Tiotropium bromide 2.5micrograms/dose / Olodaterol 2.5micrograms/dose inhalation solution cartridge CFC free","Tiotropium bromide 2.5micrograms/dose / Olodaterol 2.5micrograms/dose inhalation solution cartridge CFC free","Pressurised inhalation/ Inhalation solution","Inhalation","Olodaterol hydrochloride/ Tiotropium bromide","2.500microgram/1.000dose + 2.500microgram/1.000dose","","lama_laba"
"13178641000033112","37678011000001103","Spiolto Respimat 2.5micrograms/dose / 2.5micrograms/dose inhalation solution refill cartridge (Boehringer Ingelheim Ltd)","Spiolto Respimat 2.5micrograms/dose / 2.5micrograms/dose inhalation solution refill cartridge","Pressurised inhalation/ Inhalation solution","Inhalation","Olodaterol hydrochloride/ Tiotropium bromide","2.500microgram/1.000dose + 2.500microgram/1.000dose","","lama_laba"
"13178741000033115","37692711000001105","Tiotropium bromide 2.5micrograms/dose inhalation solution cartridge CFC free","Tiotropium bromide 2.5micrograms/dose inhalation solution cartridge CFC free","Pressurised inhalation/ Inhalation solution","Inhalation","Tiotropium bromide","2.500microgram/1.000dose","","lama"
"13178841000033113","37677711000001102","Spiriva Respimat 2.5micrograms/dose inhalation solution refill cartridge (Boehringer Ingelheim Ltd)","Spiriva Respimat 2.5micrograms/dose inhalation solution refill cartridge","Pressurised inhalation/ Inhalation solution","Inhalation","Tiotropium bromide","2.500microgram/1.000dose","","lama"
"13178941000033117","37692311000001106","Olodaterol 2.5micrograms/dose inhalation solution cartridge CFC free","Olodaterol 2.5micrograms/dose inhalation solution cartridge CFC free","Pressurised inhalation/ Inhalation solution","Inhalation","Olodaterol hydrochloride","2.500microgram/1.000dose","","laba"
"13179041000033114","37678311000001100","Striverdi Respimat 2.5micrograms/dose inhalation solution refill cartridge (Boehringer Ingelheim Ltd)","Striverdi Respimat 2.5micrograms/dose inhalation solution refill cartridge","Pressurised inhalation/ Inhalation solution","Inhalation","Olodaterol hydrochloride","2.500microgram/1.000dose","","laba"
"13300741000033118","324181004","Erythromycin stearate 500mg tablets","Erythromycin stearate 500mg tablets","Tablet","Oral","Erythromycin stearate","500.000mg","5010500","abx"
"1419341000033114","39113111000001105","Terbutaline 250micrograms/dose inhaler","Terbutaline 250micrograms/dose inhaler","Pressurised inhalation","Inhalation","Terbutaline sulfate","250.000microgram/1.000dose","","saba"
"1422541000033119","","Terbutaline Sulfate Refill canister 250 micrograms/puff","","","","","","","saba"
"1423441000033112","35916111000001109","Terbutaline 250micrograms/dose inhaler with spacer","Terbutaline 250micrograms/dose inhaler with spacer","Pressurised inhalation","Inhalation","Terbutaline sulfate","250.000microgram/1.000dose","","saba"
"1429441000033110","","Terbutaline Sulfate Turbohaler 500 micrograms/dose","","","","","","","saba"
"1505741000033119","3382711000001107","Ventolin 200micrograms/dose Accuhaler (GlaxoSmithKline UK Ltd)","Ventolin 200micrograms/dose Accuhaler","Inhalation powder","Inhalation","Salbutamol","200.000microgram/1.000dose","3010101","saba"
"1505941000033116","","Ventolin Easi-Breathe Breath-actuated inhaler 100 micrograms/puff","","","","","","","saba"
"1508041000033110","","Ventolin Inhaler 100 micrograms/puff","","","","","","","saba"
"1510541000033116","3214211000001100","Ventolin 200microgram Rotacaps (GlaxoSmithKline UK Ltd)","Ventolin 200microgram Rotacaps","Inhalation powder","Inhalation","Salbutamol sulfate","200.000microgram","","saba"
"1510641000033115","3218011000001101","Ventolin 400microgram Rotacaps (GlaxoSmithKline UK Ltd)","Ventolin 400microgram Rotacaps","Inhalation powder","Inhalation","Salbutamol sulfate","400.000microgram","","saba"
"1510741000033112","906811000001103","Ventolin Rotahaler (GlaxoSmithKline UK Ltd)","Ventolin Rotahaler","","","","","","saba"
"1553141000033111","85911000001108","Zithromax 250mg capsules (Pfizer Ltd)","Zithromax 250mg capsules","Capsule","Oral","Azithromycin dihydrate","250.000mg","5010500","abx"
"1556241000033110","3253511000001109","Zinnat Suspension 125mg granules sachets (GlaxoSmithKline UK Ltd)","Zinnat Suspension 125mg granules sachets","Granules","Oral","Cefuroxime axetil","125.000mg","","abx"
"1557041000033117","238811000001105","Zinnat 125mg/5ml oral suspension (GlaxoSmithKline UK Ltd)","Zinnat 125mg/5ml oral suspension","Oral suspension","Oral","Cefuroxime axetil","25.000mg/1.000ml","5010201","abx"
"1557141000033118","650911000001103","Zithromax 200mg/5ml oral suspension (Pfizer Ltd)","Zithromax 200mg/5ml oral suspension","Oral suspension","Oral","Azithromycin","40.000mg/1.000ml","5010500","abx"
