prodcodeid,dmdid,termfromemis,productname,formulation,routeofadministration,drugsubstancename,substancestrength,bnfchapter,category_rx
"1064641000033111","","Penicillin Vk Tablets 250 mg","","","","","","","Antibiotics"
"1067741000033113","","Penicillin V Tablets 250 mg","","","","","","","Antibiotics"
"1114241000033116","325442004","Prednisolone 2.5mg gastro-resistant tablets","Prednisolone 2.5mg gastro-resistant tablets","Gastro-resistant tablet","Oral","Prednisolone","2.500mg","1050000","Oral corticosteroids"
"1114341000033114","325443009","Prednisolone 5mg gastro-resistant tablets","Prednisolone 5mg gastro-resistant tablets","Gastro-resistant tablet","Oral","Prednisolone","5.000mg","6030200","Oral corticosteroids"
"1127341000033111","325444003","Prednisolone 5mg soluble tablets","Prednisolone 5mg soluble tablets","Soluble tablet","Oral","Prednisolone sodium phosphate","5.000mg","6030200","Oral corticosteroids"
"1130741000033110","325450008","Prednisolone 25mg tablets","Prednisolone 25mg tablets","Tablet","Oral","Prednisolone","25.000mg","6030200","Oral corticosteroids"
"1130841000033117","","Prednisolone Steaglate Tablets 6.65 mg","","","","","","","Oral corticosteroids"
"1131741000033117","325426006","Prednisolone 1mg tablets","Prednisolone 1mg tablets","Tablet","Oral","Prednisolone","1.000mg","6030200","Oral corticosteroids"
"1131841000033110","28808611000001100","Prednisolone 2.5mg tablets","Prednisolone 2.5mg tablets","Tablet","Oral","Prednisolone","2.500mg","","Oral corticosteroids"
"1131941000033119","325427002","Prednisolone 5mg tablets","Prednisolone 5mg tablets","Tablet","Oral","Prednisolone","5.000mg","1050000","Oral corticosteroids"
"1132041000033113","","Prednisone Tablets 1 mg","","","","","","","Oral corticosteroids"
"1132141000033112","","Prednisone Tablets 5 mg","","","","","","","Oral corticosteroids"
"11507841000033115","32611811000001105","Prednisolone 1mg gastro-resistant tablets","Prednisolone 1mg gastro-resistant tablets","Gastro-resistant tablet","Oral","Prednisolone","1.000mg","","Oral corticosteroids"
"11664841000033116","32781411000001102","Prednisolone 30mg tablets","Prednisolone 30mg tablets","Tablet","Oral","Prednisolone","30.000mg","","Oral corticosteroids"
"12395841000033112","370375008","Cefixime 400mg tablets","Cefixime 400mg tablets","Tablet","Oral","Cefixime","400.000mg","","Antibiotics"
"13300741000033118","324181004","Erythromycin stearate 500mg tablets","Erythromycin stearate 500mg tablets","Tablet","Oral","Erythromycin stearate","500.000mg","5010500","Antibiotics"
"1553141000033111","85911000001108","Zithromax 250mg capsules (Pfizer Ltd)","Zithromax 250mg capsules","Capsule","Oral","Azithromycin dihydrate","250.000mg","5010500","Antibiotics"
"1556241000033110","3253511000001109","Zinnat Suspension 125mg granules sachets (GlaxoSmithKline UK Ltd)","Zinnat Suspension 125mg granules sachets","Granules","Oral","Cefuroxime axetil","125.000mg","","Antibiotics"
"1557041000033117","238811000001105","Zinnat 125mg/5ml oral suspension (GlaxoSmithKline UK Ltd)","Zinnat 125mg/5ml oral suspension","Oral suspension","Oral","Cefuroxime axetil","25.000mg/1.000ml","5010201","Antibiotics"
"1557141000033118","650911000001103","Zithromax 200mg/5ml oral suspension (Pfizer Ltd)","Zithromax 200mg/5ml oral suspension","Oral suspension","Oral","Azithromycin","40.000mg/1.000ml","5010500","Antibiotics"
"1557341000033115","211911000001100","Zinnat 250mg tablets (GlaxoSmithKline UK Ltd)","Zinnat 250mg tablets","Tablet","Oral","Cefuroxime axetil","250.000mg","5010201","Antibiotics"
"1558241000033114","228011000001102","Zinnat 125mg tablets (GlaxoSmithKline UK Ltd)","Zinnat 125mg tablets","Tablet","Oral","Cefuroxime axetil","125.000mg","5010201","Antibiotics"
"1572541000033110","","Augmentin 1 G Tablets","","","","","","","Antibiotics"
"1572841000033112","324258005","Azithromycin 500mg tablets","Azithromycin 500mg tablets","Tablet","Oral","Azithromycin","500.000mg","","Antibiotics"
"1581441000033111","","Cephalexin Tablets 1 gram","","","","","","","Antibiotics"
"1582841000033117","3492511000001109","Ciproxin 250mg/5ml oral suspension (Bayer Plc)","Ciproxin 250mg/5ml oral suspension","Oral suspension","Oral","Ciprofloxacin","50.000mg/1.000ml","5011200","Antibiotics"
"1582941000033113","324602005","Ciprofloxacin 250mg/5ml oral suspension","Ciprofloxacin 250mg/5ml oral suspension","Oral suspension","Oral","Ciprofloxacin","50.000mg/1.000ml","5011200","Antibiotics"
"1594141000033117","392259005","Co-amoxiclav 875mg/125mg tablets","Co-amoxiclav 875mg/125mg tablets","Tablet","Oral","Amoxicillin trihydrate/ Potassium clavulanate","875.000mg + 125.000mg","","Antibiotics"
"1603241000033119","324070004","Doxycycline 50mg capsules","Doxycycline 50mg capsules","Capsule","Oral","Doxycycline hyclate","50.000mg","5010300","Antibiotics"
"1626141000033110","36038911000001106","Levofloxacin 500mg/100ml solution for infusion vials","Levofloxacin 500mg/100ml solution for infusion vials","Solution for infusion","Intravenous","Levofloxacin hemihydrate","5.000mg/1.000ml","5011200","Antibiotics"
"1626241000033115","324633007","Levofloxacin 250mg tablets","Levofloxacin 250mg tablets","Tablet","Oral","Levofloxacin hemihydrate","250.000mg","5011200","Antibiotics"
"1626341000033113","324634001","Levofloxacin 500mg tablets","Levofloxacin 500mg tablets","Tablet","Oral","Levofloxacin hemihydrate","500.000mg","5011200","Antibiotics"
"1698641000033112","4602911000001104","Tavanic 500mg/100ml solution for infusion vials (Sanofi)","Tavanic 500mg/100ml solution for infusion vials","Solution for infusion","Intravenous","Levofloxacin hemihydrate","5.000mg/1.000ml","5011200","Antibiotics"
"1698741000033115","3077511000001109","Tavanic 250mg tablets (Sanofi)","Tavanic 250mg tablets","Tablet","Oral","Levofloxacin hemihydrate","250.000mg","5011200","Antibiotics"
"1698841000033113","3078311000001102","Tavanic 500mg tablets (Sanofi)","Tavanic 500mg tablets","Tablet","Oral","Levofloxacin hemihydrate","500.000mg","5011200","Antibiotics"
"1713741000033116","794511000001102","Zithromax 500mg tablets (Pfizer Ltd)","Zithromax 500mg tablets","Tablet","Oral","Azithromycin","500.000mg","","Antibiotics"
"1830541000033112","37083211000001101","Clarithromycin 250mg/5ml oral suspension","Clarithromycin 250mg/5ml oral suspension","Oral suspension","Oral","Clarithromycin","50.000mg/1.000ml","5010500","Antibiotics"
"1830641000033113","211000001101","Klaricid Paediatric 250mg/5ml oral suspension (Mylan)","Klaricid Paediatric 250mg/5ml oral suspension","Oral suspension","Oral","Clarithromycin","50.000mg/1.000ml","5010500","Antibiotics"
"1846041000033116","332347007","Erythromycin 40mg/ml / Zinc acetate 12mg/ml lotion","Erythromycin 40mg/ml / Zinc acetate 12mg/ml lotion","Liquid","Cutaneous","Erythromycin/ Zinc acetate","40.000mg/1.000ml + 12.000mg/1.000ml","13060100","Antibiotics"
"1924941000033118","324178009","Erythromycin 250mg gastro-resistant tablets","Erythromycin 250mg gastro-resistant tablets","Gastro-resistant tablet","Oral","Erythromycin","250.000mg","5010500","Antibiotics"
"219741000033111","323795002","Cefaclor 500mg capsules","Cefaclor 500mg capsules","Capsule","Oral","Cefaclor monohydrate","500.000mg","5010201","Antibiotics"
"220441000033115","323791006","Cefaclor 250mg capsules","Cefaclor 250mg capsules","Capsule","Oral","Cefaclor monohydrate","250.000mg","5010201","Antibiotics"
"220541000033119","323813001","Cefadroxil 500mg capsules","Cefadroxil 500mg capsules","Capsule","Oral","Cefadroxil monohydrate","500.000mg","5010201","Antibiotics"
"220741000033110","","Cephalexin Capsules 250 mg","","","","","","","Antibiotics"
"220841000033117","","Cephalexin Capsules 500 mg","","","","","","","Antibiotics"
"221241000033111","","Cephalexin Chewable tablets 125 mg","","","","","","","Antibiotics"
"221341000033118","","Cephalexin Chewable tablets 250 mg","","","","","","","Antibiotics"
"227741000033114","36134211000001100","Cefaclor 375mg modified-release tablets","Cefaclor 375mg modified-release tablets","Modified-release tablet","Oral","Cefaclor monohydrate","375.000mg","5010201","Antibiotics"
"227841000033116","","Cefaclor M/R tablets 500 mg","","","","","","","Antibiotics"
"227941000033112","","Cephalexin Mixture 125 mg/5 ml","","","","","","","Antibiotics"
"228041000033110","","Cephalexin Mixture 250 mg/5 ml","","","","","","","Antibiotics"
"228141000033114","","Cephalexin Mixture 500mg/5 ml","","","","","","","Antibiotics"
"228541000033117","","Cephalexin Paediatric drops 125 mg/1.25 ml","","","","","","","Antibiotics"
"228941000033111","323874002","Cefuroxime 125mg granules sachets","Cefuroxime 125mg granules sachets","Granules","Oral","Cefuroxime axetil","125.000mg","","Antibiotics"
"230041000033114","36134411000001101","Cefixime 100mg/5ml oral suspension","Cefixime 100mg/5ml oral suspension","Oral suspension","Oral","Cefixime","20.000mg/1.000ml","5010201","Antibiotics"
"230141000033113","323872003","Cefuroxime 125mg/5ml oral suspension","Cefuroxime 125mg/5ml oral suspension","Oral suspension","Oral","Cefuroxime axetil","25.000mg/1.000ml","5010201","Antibiotics"
"230741000033112","36134011000001105","Cefaclor 125mg/5ml oral suspension sugar free","Cefaclor 125mg/5ml oral suspension sugar free","Oral suspension","Oral","Cefaclor monohydrate","25.000mg/1.000ml","5010201","Antibiotics"
"230841000033119","36134111000001106","Cefaclor 250mg/5ml oral suspension sugar free","Cefaclor 250mg/5ml oral suspension sugar free","Oral suspension","Oral","Cefaclor monohydrate","50.000mg/1.000ml","5010201","Antibiotics"
"230941000033110","323792004","Cefaclor 125mg/5ml oral suspension","Cefaclor 125mg/5ml oral suspension","Oral suspension","Oral","Cefaclor monohydrate","25.000mg/1.000ml","5010201","Antibiotics"
"231041000033117","323811004","Cefadroxil 125mg/5ml oral suspension","Cefadroxil 125mg/5ml oral suspension","Oral suspension","Oral","Cefadroxil monohydrate","25.000mg/1.000ml","","Antibiotics"
"231141000033118","","Cephalexin Suspension 125 mg/5 ml","","","","","","","Antibiotics"
"231241000033113","","Cephalexin Suspension 250 mg/5 ml","","","","","","","Antibiotics"
"231541000033110","323812006","Cefadroxil 250mg/5ml oral suspension","Cefadroxil 250mg/5ml oral suspension","Oral suspension","Oral","Cefadroxil monohydrate","50.000mg/1.000ml","","Antibiotics"
"231641000033111","323816009","Cefadroxil 500mg/5ml oral suspension","Cefadroxil 500mg/5ml oral suspension","Oral suspension","Oral","Cefadroxil monohydrate","100.000mg/1.000ml","","Antibiotics"
"231741000033119","323793009","Cefaclor 250mg/5ml oral suspension","Cefaclor 250mg/5ml oral suspension","Oral suspension","Oral","Cefaclor monohydrate","50.000mg/1.000ml","5010201","Antibiotics"
"232041000033110","","Cephalexin Syrup 125 mg/5 ml","","","","","","","Antibiotics"
"232141000033114","","Cephalexin Syrup 250 mg/5 ml","","","","","","","Antibiotics"
"232241000033119","","Cephalexin Syrup 500 mg/5 ml","","","","","","","Antibiotics"
"232641000033116","","Cephalexin Syrup 500mg/5 ml","","","","","","","Antibiotics"
"232741000033113","323973007","Cefixime 200mg tablets","Cefixime 200mg tablets","Tablet","Oral","Cefixime","200.000mg","5010201","Antibiotics"
"233041000033118","323869005","Cefuroxime 250mg tablets","Cefuroxime 250mg tablets","Tablet","Oral","Cefuroxime axetil","250.000mg","5010201","Antibiotics"
"234941000033119","","Cephalexin Tablets 250 mg","","","","","","","Antibiotics"
"235041000033119","","Cephalexin Tablets 500 mg","","","","","","","Antibiotics"
"235441000033111","323868002","Cefuroxime 125mg tablets","Cefuroxime 125mg tablets","Tablet","Oral","Cefuroxime axetil","125.000mg","5010201","Antibiotics"
"2494341000033110","","*Penicillin Tablets","","","","","","","Antibiotics"
"2494441000033116","","*Penicillin Granules","","","","","","","Antibiotics"
"2494541000033115","","*Penicillin Liquid","","","","","","","Antibiotics"
"2494641000033119","","*Penicillin Powder","","","","","","","Antibiotics"
"2494741000033111","","*Penicillin Pills (Sucrose)","","","","","","","Antibiotics"
"2509341000033118","","*Prednisolone Tablets","","","","","","","Oral corticosteroids"
"2509441000033112","","*Prednisolone Granules","","","","","","","Oral corticosteroids"
"2509541000033113","","*Prednisolone Liquid","","","","","","","Oral corticosteroids"
"2509641000033114","","*Prednisolone Powder","","","","","","","Oral corticosteroids"
"2509741000033117","","*Prednisolone Pills (Sucrose)","","","","","","","Oral corticosteroids"
"258741000033114","417611000001101","Ciproxin 500mg tablets (Bayer Plc)","Ciproxin 500mg tablets","Tablet","Oral","Ciprofloxacin hydrochloride","500.000mg","5011200","Antibiotics"
"258841000033116","324606008","Ciprofloxacin 500mg tablets","Ciprofloxacin 500mg tablets","Tablet","Oral","Ciprofloxacin hydrochloride","500.000mg","5011200","Antibiotics"
"258941000033112","661311000001104","Ciproxin 750mg tablets (Bayer Plc)","Ciproxin 750mg tablets","Tablet","Oral","Ciprofloxacin hydrochloride","750.000mg","5011200","Antibiotics"
"259041000033115","324605007","Ciprofloxacin 750mg tablets","Ciprofloxacin 750mg tablets","Tablet","Oral","Ciprofloxacin hydrochloride","750.000mg","5011200","Antibiotics"
"259341000033118","324600002","Ciprofloxacin 100mg tablets","Ciprofloxacin 100mg tablets","Tablet","Oral","Ciprofloxacin hydrochloride","100.000mg","5011200","Antibiotics"
"259441000033112","162511000001103","Ciproxin 100mg tablets (Bayer Plc)","Ciproxin 100mg tablets","Tablet","Oral","Ciprofloxacin hydrochloride","100.000mg","5011200","Antibiotics"
"259641000033114","455911000001109","Ciproxin 250mg tablets (Bayer Plc)","Ciproxin 250mg tablets","Tablet","Oral","Ciprofloxacin hydrochloride","250.000mg","5011200","Antibiotics"
"260241000033112","324607004","Ciprofloxacin 250mg tablets","Ciprofloxacin 250mg tablets","Tablet","Oral","Ciprofloxacin hydrochloride","250.000mg","5011200","Antibiotics"
"2637041000033111","","Doxycycline Tablets 20 mg","","","","","","","Antibiotics"
"277841000033115","36142611000001107","Clarithromycin 500mg modified-release tablets","Clarithromycin 500mg modified-release tablets","Modified-release tablet","Oral","Clarithromycin","500.000mg","5010500","Antibiotics"
"278241000033118","35368711000001104","Clarithromycin 125mg/5ml oral suspension","Clarithromycin 125mg/5ml oral suspension","Oral suspension","Oral","Clarithromycin","25.000mg/1.000ml","5010500","Antibiotics"
"282141000033118","324248006","Clarithromycin 250mg granules sachets","Clarithromycin 250mg granules sachets","Granules","Oral","Clarithromycin","250.000mg","5010500","Antibiotics"
"2831741000033110","","Cefuroxime Tablets 500 mg","","","","","","","Antibiotics"
"2831841000033117","","Zinnat Tablets 500 mg","","","","","","","Antibiotics"
"285341000033110","324244008","Clarithromycin 500mg tablets","Clarithromycin 500mg tablets","Tablet","Oral","Clarithromycin","500.000mg","5010500","Antibiotics"
"287441000033111","324238009","Clarithromycin 250mg tablets","Clarithromycin 250mg tablets","Tablet","Oral","Clarithromycin","250.000mg","5010500","Antibiotics"
"2890241000033119","408015000","Moxifloxacin 400mg tablets","Moxifloxacin 400mg tablets","Tablet","Oral","Moxifloxacin hydrochloride","400.000mg","5011200","Antibiotics"
"2890341000033112","4360711000001109","Avelox 400mg tablets (Bayer Plc)","Avelox 400mg tablets","Tablet","Oral","Moxifloxacin hydrochloride","400.000mg","5011200","Antibiotics"
"3079141000033118","323509004","Amoxicillin 250mg capsules","Amoxicillin 250mg capsules","Capsule","Oral","Amoxicillin trihydrate","250.000mg","5010103","Antibiotics"
"3079241000033113","323510009","Amoxicillin 500mg capsules","Amoxicillin 500mg capsules","Capsule","Oral","Amoxicillin trihydrate","500.000mg","5010103","Antibiotics"
"3079641000033111","323732002","Amoxicillin 125mg/5ml oral suspension","Amoxicillin 125mg/5ml oral suspension","Oral suspension","Oral","Amoxicillin trihydrate","25.000mg/1.000ml","5010103","Antibiotics"
"3079741000033119","323733007","Amoxicillin 250mg/5ml oral suspension","Amoxicillin 250mg/5ml oral suspension","Oral suspension","Oral","Amoxicillin trihydrate","50.000mg/1.000ml","5010103","Antibiotics"
"3079841000033112","35368511000001109","Amoxicillin 125mg/1.25ml oral suspension paediatric","Amoxicillin 125mg/1.25ml oral suspension paediatric","Oral suspension","Oral","Amoxicillin trihydrate","100.000mg/1.000ml","5010103","Antibiotics"
"3079941000033116","35902111000001107","Amoxicillin 3g oral powder sachets sugar free","Amoxicillin 3g oral powder sachets sugar free","Powder","Oral","Amoxicillin trihydrate","3.000gram","5010103","Antibiotics"
"3080041000033117","35901911000001104","Amoxicillin 125mg/5ml oral suspension sugar free","Amoxicillin 125mg/5ml oral suspension sugar free","Oral suspension","Oral","Amoxicillin trihydrate","25.000mg/1.000ml","5010103","Antibiotics"
"3080141000033118","39021911000001105","Amoxicillin 250mg/5ml oral suspension sugar free","Amoxicillin 250mg/5ml oral suspension sugar free","Oral suspension","Oral","Amoxicillin trihydrate","50.000mg/1.000ml","5010103","Antibiotics"
"3084041000033111","323883007","Cefalexin 250mg capsules","Cefalexin 250mg capsules","Capsule","Oral","Cefalexin","250.000mg","5010201","Antibiotics"
"3084141000033110","323884001","Cefalexin 500mg capsules","Cefalexin 500mg capsules","Capsule","Oral","Cefalexin","500.000mg","5010201","Antibiotics"
"3084241000033115","323885000","Cefalexin 250mg tablets","Cefalexin 250mg tablets","Tablet","Oral","Cefalexin","250.000mg","5010201","Antibiotics"
"3084341000033113","323886004","Cefalexin 500mg tablets","Cefalexin 500mg tablets","Tablet","Oral","Cefalexin","500.000mg","5010201","Antibiotics"
"3084441000033119","323887008","Cefalexin 125mg/5ml oral suspension","Cefalexin 125mg/5ml oral suspension","Oral suspension","Oral","Cefalexin","25.000mg/1.000ml","5010201","Antibiotics"
"3084541000033118","323888003","Cefalexin 250mg/5ml oral suspension","Cefalexin 250mg/5ml oral suspension","Oral suspension","Oral","Cefalexin","50.000mg/1.000ml","5010201","Antibiotics"
"3084641000033117","36134311000001108","Cefalexin 500mg/5ml oral suspension","Cefalexin 500mg/5ml oral suspension","Oral suspension","Oral","Cefalexin","100.000mg/1.000ml","5010201","Antibiotics"
"3084741000033114","323944009","Cefradine 250mg capsules","Cefradine 250mg capsules","Capsule","Oral","Cefradine","250.000mg","5010201","Antibiotics"
"3084841000033116","323945005","Cefradine 500mg capsules","Cefradine 500mg capsules","Capsule","Oral","Cefradine","500.000mg","5010201","Antibiotics"
"3085141000033111","36134511000001102","Cefradine 250mg/5ml oral solution","Cefradine 250mg/5ml oral solution","Oral solution","Oral","Cefradine","50.000mg/1.000ml","","Antibiotics"
"3089341000033112","324059006","Doxycycline 100mg capsules","Doxycycline 100mg capsules","Capsule","Oral","Doxycycline hyclate","100.000mg","5040100","Antibiotics"
"3089441000033118","324072007","Doxycycline 100mg dispersible tablets sugar free","Doxycycline 100mg dispersible tablets sugar free","Dispersible tablet","Oral","Doxycycline monohydrate","100.000mg","5040100","Antibiotics"
"3089541000033117","408607002","Doxycycline 20mg tablets","Doxycycline 20mg tablets","Tablet","Oral","Doxycycline hyclate","20.000mg","12030100","Antibiotics"
"317241000033119","","Co-Amoxiclav Dispersible tablets","","","","","","","Antibiotics"
"317741000033113","39021311000001109","Co-amoxiclav 250mg/125mg dispersible tablets sugar free","Co-amoxiclav 250mg/125mg dispersible tablets sugar free","Dispersible tablet","Oral","Amoxicillin trihydrate/ Potassium clavulanate","250.000mg + 125.000mg","5010103","Antibiotics"
"330441000033114","323567000","Co-amoxiclav 500mg/100mg powder for solution for injection vials","Co-amoxiclav 500mg/100mg powder for solution for injection vials","Powder for solution for injection","Intravenous","Amoxicillin sodium/ Potassium clavulanate","500.000mg + 100.000mg","5010103","Antibiotics"
"330541000033110","323568005","Co-amoxiclav 1000mg/200mg powder for solution for injection vials","Co-amoxiclav 1000mg/200mg powder for solution for injection vials","Powder for solution for injection","Intravenous","Amoxicillin sodium/ Potassium clavulanate","1000.000mg + 200.000mg","5010103","Antibiotics"
"359141000033110","","Co-Amoxiclav S/f junior suspension","","","","","","","Antibiotics"
"359241000033115","","Co-Amoxiclav S/f paediatric suspension","","","","","","","Antibiotics"
"366941000033113","36565811000001104","Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free","Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free","Oral suspension","Oral","Amoxicillin trihydrate/ Potassium clavulanate","25.000mg/1.000ml + 6.250mg/1.000ml","5010103","Antibiotics"
"367041000033114","37083611000001104","Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free","Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free","Oral suspension","Oral","Amoxicillin trihydrate/ Potassium clavulanate","50.000mg/1.000ml + 12.500mg/1.000ml","5010103","Antibiotics"
"367541000033116","37083711000001108","Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free","Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free","Oral suspension","Oral","Amoxicillin trihydrate/ Potassium clavulanate","80.000mg/1.000ml + 11.400mg/1.000ml","5010103","Antibiotics"
"369241000033113","","Co-Amoxiclav Tablets","","","","","","","Antibiotics"
"370041000033115","323563001","Co-amoxiclav 250mg/125mg tablets","Co-amoxiclav 250mg/125mg tablets","Tablet","Oral","Amoxicillin trihydrate/ Potassium clavulanate","250.000mg + 125.000mg","5010103","Antibiotics"
"370141000033116","323539009","Co-amoxiclav 500mg/125mg tablets","Co-amoxiclav 500mg/125mg tablets","Tablet","Oral","Amoxicillin trihydrate/ Potassium clavulanate","500.000mg + 125.000mg","5010103","Antibiotics"
"3834741000033115","9552511000001108","Ciprofloxacin 3mg/g eye ointment","Ciprofloxacin 3mg/g eye ointment","Eye ointment","Ocular","Ciprofloxacin hydrochloride","3.000mg/1.000gram","11030100","Antibiotics"
"3838541000033117","9742311000001103","Clarithromycin 125mg granules straws","Clarithromycin 125mg granules straws","Granules","Oral","Clarithromycin","125.000mg","5010500","Antibiotics"
"3838641000033116","9742411000001105","Clarithromycin 187.5mg granules straws","Clarithromycin 187.5mg granules straws","Granules","Oral","Clarithromycin","187.500mg","5010500","Antibiotics"
"3838741000033113","9742511000001109","Clarithromycin 250mg granules straws","Clarithromycin 250mg granules straws","Granules","Oral","Clarithromycin","250.000mg","5010500","Antibiotics"
"3914841000033111","","Suprax Capsules 400 mg","","","","","","","Antibiotics"
"3955441000033115","11034311000001100","Azithromycin 250mg tablets","Azithromycin 250mg tablets","Tablet","Oral","Azithromycin","250.000mg","","Antibiotics"
"429141000033119","","Decortisyl Tablets 5 mg","","","","","","","Oral corticosteroids"
"429441000033110","","Deltastab Tablets 1 mg","","","","","","","Oral corticosteroids"
"429541000033111","","Deltastab Tablets 5 mg","","","","","","","Oral corticosteroids"
"431541000033114","459611000001100","Deltacortril 2.5mg gastro-resistant tablets (Phoenix Labs Ltd)","Deltacortril 2.5mg gastro-resistant tablets","Gastro-resistant tablet","Oral","Prednisolone","2.500mg","3020000/ 8020200/ 10010201/ 13050000","Oral corticosteroids"
"431641000033110","331111000001100","Deltacortril 5mg gastro-resistant tablets (Phoenix Labs Ltd)","Deltacortril 5mg gastro-resistant tablets","Gastro-resistant tablet","Oral","Prednisolone","5.000mg","3020000/ 8020200/ 10010201/ 13050000","Oral corticosteroids"
"4373141000033119","4515811000001108","Cefalexin 250mg/5ml oral suspension sugar free","Cefalexin 250mg/5ml oral suspension sugar free","Oral suspension","Oral","Cefalexin","50.000mg/1.000ml","5010200","Antibiotics"
"44041000033113","388611000001105","Amoxil 250mg capsules (GlaxoSmithKline UK Ltd)","Amoxil 250mg capsules","Capsule","Oral","Amoxicillin trihydrate","250.000mg","5010103","Antibiotics"
"44141000033112","709311000001106","Amoxil 500mg capsules (GlaxoSmithKline UK Ltd)","Amoxil 500mg capsules","Capsule","Oral","Amoxicillin trihydrate","500.000mg","5010103","Antibiotics"
"44441000033116","323570001","Ampicillin 250mg capsules","Ampicillin 250mg capsules","Capsule","Oral","Ampicillin","250.000mg","5010103","Antibiotics"
"44541000033115","323571002","Ampicillin 500mg capsules","Ampicillin 500mg capsules","Capsule","Oral","Ampicillin","500.000mg","5010103","Antibiotics"
"46841000033112","","Amoxil Dispersible tablets 500 mg","","","","","","","Antibiotics"
"472341000033113","","Doxycycline Capsules 100 mg","","","","","","","Antibiotics"
"47241000033111","","Amoxil Fiztabs 125 mg","","","","","","","Antibiotics"
"472541000033118","","Doxycycline Capsules 50 mg","","","","","","","Antibiotics"
"47341000033118","","Amoxil Fiztabs 250 mg","","","","","","","Antibiotics"
"473641000033113","","Doxycycline Dispersible tablets 100 mg","","","","","","","Antibiotics"
"47441000033112","","Amoxil Fiztabs 500 mg","","","","","","","Antibiotics"
"479441000033114","","Doxycycline Syrup 50 mg/5 ml","","","","","","","Antibiotics"
"481941000033110","","Doxycycline Tablets 100 mg","","","","","","","Antibiotics"
"5150141000033114","36564611000001104","Doxycycline 40mg modified-release capsules","Doxycycline 40mg modified-release capsules","Modified-release capsule","Oral","Doxycycline monohydrate","40.000mg","5010300","Antibiotics"
"52041000033115","323572009","Ampicillin 125mg/5ml oral suspension","Ampicillin 125mg/5ml oral suspension","Oral suspension","Oral","Ampicillin","25.000mg/1.000ml","5010103","Antibiotics"
"52141000033116","323573004","Ampicillin 250mg/5ml oral suspension","Ampicillin 250mg/5ml oral suspension","Oral suspension","Oral","Ampicillin","50.000mg/1.000ml","5010103","Antibiotics"
"52841000033110","389311000001106","Amoxil 125mg/1.25ml paediatric oral suspension (GlaxoSmithKline UK Ltd)","Amoxil 125mg/1.25ml paediatric oral suspension","Oral suspension","Oral","Amoxicillin trihydrate","100.000mg/1.000ml","5010103","Antibiotics"
"5331141000033112","","Augmentin Sr M/R tablets 1000 mg + 62.5 mg","","","","","","","Antibiotics"
"53341000033114","","Ampicillin Paediatric suspension 125 mg/1.25 ml","","","","","","","Antibiotics"
"534241000033118","36064711000001106","Erythromycin 250mg gastro-resistant capsules","Erythromycin 250mg gastro-resistant capsules","Gastro-resistant capsule","Oral","Erythromycin","250.000mg","5010500","Antibiotics"
"534341000033111","","Erythromycin Ethyl Succinate Granules 1 gram/sachet","","","","","","","Antibiotics"
"53441000033115","","Ampicillin Paediatric tablets 125 mg","","","","","","","Antibiotics"
