medcodeid,snomedctconceptid,snomedctdescriptionid,originalreadcode,cleansedreadcode,term,aecopd_breathlessness,copd_chronic_breathlessness
"5497741000006119","267036007","397887017","^ESCTBR549774","","Breathless",1,0
"397888010","267036007","397888010","173","173..00","Breathlessness",1,1
"252412011","267036007","397888010","173Z","173Z.00","Breathlessness NOS",1,1
"451467013","267036007","397888010","R060D","R060D00","[D]Breathlessness",1,0
"5497761000006115","267036007","397889019","^ESCTSO549776","","SOB - Shortness of breath",1,1
"397890011","267036007","397890011","1739","1739.00","Shortness of breath",0,1
"317392015","267036007","397890011","R0608","R060800","[D]Shortness of breath",1,0
"5529941000006111","271823003","1490286012","^ESCTTA552994","","Tachypnoeic",1,0
"5529951000006113","271823003","1490518017","^ESCTTA552995","","Tachypneic",1,0
"11905791000006119","271823003","406796019","^ESCT1190579","","Tachypnea",1,0
"5529931000006118","271823003","406798018","^ESCTRA552993","","Rapid breathing",1,0
"317386014","271823003","406799014","R0603","R060300","Tachypnoea",1,0
"317390011","271825005","406803010","R0606","R060600","Respiratory distress",1,0
"5530001000006115","271825005","406804016","^ESCTDI553000","","Distressed breathing",1,0
"1484903015","390870001","1484903015","173F","173F.00","Short of breath dressing/undressing",0,1
"1484904014","390871002","1484904014","173G","173G.00","Breathless - strenuous exertion",0,1
"1485144011","391120009","1485144011","173H","173H.00","MRC Breathlessness Scale: grade 1",0,1
"1485147016","391123006","1485147016","173I","173I.00","MRC Breathlessness Scale: grade 2",0,1
"1485148014","391124000","1485148014","173J","173J.00","MRC Breathlessness Scale: grade 3",0,1
"1485149018","391125004","1485149018","173K","173K.00","MRC Breathlessness Scale: grade 4",0,1
"1485150018","391126003","1485150018","173L","173L.00","MRC Breathlessness Scale: grade 5",0,1
"1780468018","401279002","1780468018","173P","173P.00","Borg Breathlessness Score: 1 very slight",0,1
"1780469014","401280004","1780469014","173Q","173Q.00","Borg Breathlessness Score: 2 slight",0,1
"1780470010","401281000","1780470010","173R","173R.00","Borg Breathlessness Score: 3 moderate",0,1
"1780471014","401282007","1780471014","173S","173S.00","Borg Breathlessness Score: 4 somewhat severe",0,1
"1780473012","401284008","1780473012","173T","173T.00","Borg Breathlessness Score: 5 severe",0,1
"1780475017","401286005","1780475017","173V","173V.00","Borg Breathlessness Score: 6 severe (+)",0,1
"1780479011","401290007","1780479011","173W","173W.00","Borg Breathlessness Score: 7 very severe",0,1
"1780480014","401291006","1780480014","173X","173X.00","Borg Breathlessness Score: 8 very severe (+)",0,1
"911011000006110","401292004","1780481013","173Y","173Y.00","Borg Breathlessness Score: 9 very, very severe (almost maximal)",0,1
"1780482018","401293009","1780482018","173a","173a.00","Borg Breathlessness Score: 10 maximal",0,1
"2159189012","407588003","2159189012","173b","173b.00","Unable to complete a sentence in one breath",1,1
"198599018","55442000","198599018","1736","1736.00","Paroxysmal nocturnal dyspnoea",0,1
"3488341000006110","60845006","101102017","^ESCTEX348834","","Exertional dyspnea",0,1
"3488371000006119","60845006","101105015","^ESCTDY348837","","Dyspnoea on effort",0,1
"1232138017","60845006","1232138017","173C","173C.00","Short of breath on exertion",0,1
"3488411000006118","60845006","1232139013","^ESCTSO348841","","SOBOE - Shortness of breath on exertion",0,1
"3488381000006116","60845006","199001013","^ESCTEX348838","","Exertional dyspnoea",0,1
"498862013","60845006","498862013","173C-1","173C.11","Dyspnoea on exertion",0,1
"910901000006116","60845006","498862013","173C-2","173C.12","SOBOE",1,1
"11905591000006110","62744007","104280017","^ESCT1190559","","Orthopnea",0,1
"41791000006118","62744007","104281018","1735-1","1735.11","Orthopnoea",0,1
"525691000006114","62744007","1232389014","1735","1735.00","Breathlessness lying flat",0,1
"2287881000000112","702581006","2390171000000112","173g","173g.00","Breathlessness causing difficulty eating",0,1
"2379631000000117","713661000","3292644018","173h","173h.00","Able to complete sentence in one breath",1,0
"3792111000006118","79451004","131814014","^ESCTBR379211","","Bronchial breathing",1,0
"12371301000006113","859231000000103","2752581000000112","^ESCT1237130","","MRC (Medical Research Council) dyspnoea scale",0,1
"961761000006112","961761000006108","961761000006112","EMISCAB17","","Abnormal breathing patterns",1,0
"961841000006118","961841000006102","961841000006118","EMISCAB19","","Abnormal breath sounds",1,0
"982351000006118","982351000006102","982351000006118","EMISCDY2","","Dyspnoea",1,0
