medcodeid,snomedctconceptid,snomedctdescriptionid,originalreadcode,cleansedreadcode,term,cough,dyspnoea,sputum
"1084611000006111","1084611000006107","1084611000006111","ALLERGY6301EMIS","","Adverse reaction to Becotide 100 Easi-Breathe",,1,
"1084621000006115","1084621000006104","1084621000006115","ALLERGY6302EMIS","","Adverse reaction to Becloforte Easi-Breathe",,1,
"1100271000006116","1100271000006100","1100271000006116","ALLERGY22040NEMIS","","Adverse reaction to Powerbreathe Medic",,1,
"1140981000006116","1140981000006100","1140981000006116","ALLERGY6733EMIS","","Adverse reaction to Tracheostomy Breathing Aid",,1,
"1141031000006113","1141031000006109","1141031000006113","ALLERGY6752EMIS","","Adverse reaction to Helicobacter Pylori Breath",,1,
"20419011","11833005","20419011","1712","1712.00","Dry cough",1,,
"2688441000006111","11833005","20420017","^ESCTUN268844","","Unproductive cough",1,,
"11823221000006114","11833005","3516867016","^ESCT1182322","","Non-productive cough",1,,
"11932801000006116","11932801000006100","11932801000006116","EMISNQIP23","","IPOS staff score : degree pt affected by breathlessness past week",,1,
"11932811000006118","11932811000006102","11932811000006118","EMISNQIP24","","IPOS staff score : cannot assess degree pt affected by breathlessness past week",,1,
"11932841000006119","11932841000006103","11932841000006119","EMISNQIP27","","IPOS patient score : degree pt affected by breathlessness past 3 days",,1,
"11933211000006111","11933211000006107","11933211000006111","EMISNQIP63","","IPOS staff score: degree pt affected by breathlessness past 3 days",,1,
"11933271000006119","11933271000006103","11933271000006119","EMISNQIP69","","IPOS staff score: cannot assess degree pt affected by breathlessness past 3 days",,1,
"11933371000006111","11933371000006107","11933371000006111","EMISNQIP77","","IPOS patient score : degree pt affected by breathlessness past week",,1,
"1717261000006118","119334006","180853012","EMISNQSP18","","Sputum specimen",,,1
"1269531000033112","1269531000033108","1269531000033112","DRGA45378NEMIS","","Hiline Breathable",,1,
"1495637015","12895002","1495637015","8E93","8E93.00","Breathing exercises",,1,
"2704841000006111","12895002","22111012","^ESCTPH270484","","Physiotherapeutic breathing exercise",,1,
"11875971000006117","13094009","2725661000000110","^ESCT1187597","","Not breathing in newborn infant",,1,
"4451931000006118","130955003","210589018","^ESCTFE445193","","Fetal distress",,1,
"306681013","130955003","210589018","L2630","L263000","Nonreassuring foetal status",,1,
"306703019","130955003","210590010","L263z","L263z00","Foetal distress",,1,
"13045891000006117","1322491000000105","2831261000000111","^ESCT1304589","","Recently performed oxygen administration by non-rebreather mask",,1,
"13045901000006118","1322491000000105","2831271000000116","^ESCT1304590","","Recently performed oxygen administration by non-rebreathing mask",,1,
"216653013","135883003","216653013","171F","171F.00","Cough with fever",1,,
"2520221000006115","1366004","1495662015","^ESCTBR252022","","Breathing treatment",,1,
"252351017","161923004","252351017","1713","1713.00","Productive cough -clear sputum",1,,1
"252352012","161924005","252352012","1714","1714.00","Productive cough -green sputum",1,,1
"252353019","161925006","252353019","1715","1715.00","Productive cough-yellow sputum",1,,1
"252357018","161927003","252357018","1717","1717.00","Night cough present",1,,
"252359015","161929000","252359015","1719","1719.00","Chesty cough",1,,1
"252360013","161929000","252360013","1719-1","1719.11","Bronchial cough",1,,1
"252363010","161932002","252363010","171C","171C.00","Morning cough",1,,
"252364016","161933007","252364016","171D","171D.00","Evening cough",1,,
"252384017","161938003","252384017","1731","1731.00","No breathlessness",,1,
"252385016","161939006","252385016","1732","1732.00","Breathless - moderate exertion",,1,
"252386015","161940008","252386015","1733","1733.00","Breathless - mild exertion",,1,
"252387012","161941007","252387012","1734","1734.00","Breathless - at rest",,1,
"4545441000006113","161941007","252388019","^ESCTSO454544","","SOBAR - Shortness of breath at rest",,1,
"4545421000006118","161941007","252389010","^ESCTDY454542","","Dyspnoea at rest",,1,
"4545451000006110","161941007","252390018","^ESCTDY454545","","Dyspnea at rest",,1,
"252406018","161947006","252406018","173B","173B.00","Nocturnal cough / wheeze",1,,
"252419019","161956003","252419019","175","175..00","Breath symptom",,1,
"252421012","161956003","252419019","175Z","175Z.00","Breath symptom NOS",,1,
"252420013","161957007","252420013","1751","1751.00","Breath normal",,1,
"1621021000006111","1621021000006107","1621021000006111","EMISNQHE28","","Helicobacter breath test equivocal",,1,
"253357012","162481009","253357012","1D88","1D88.00","Breathing aggravates symptom",,1,
"253615013","162718006","253615013","2253","2253.00","O/E - distressed",,1,
"4550871000006113","162718006","2668155014","^ESCTON455087","","On examination - distressed",,1,
"4554051000006116","162890008","253888018","^ESCTOE455405","","O/E - dyspnea",,1,
"253889014","162890008","253889014","2322","2322.00","O/E - dyspnoea",,1,
"4554061000006119","162890008","2667239013","^ESCTON455406","","On examination - dyspnea",,1,
"253890017","162891007","253890017","2323","2323.00","O/E - orthopnoea",,1,
"4554081000006112","162891007","253891018","^ESCTOE455408","","O/E - orthopnea",,1,
"4554091000006110","162891007","2667240010","^ESCTON455409","","On examination - orthopnea",,1,
"253892013","162892000","253892013","2324","2324.00","O/E - respiratory distress",,1,
"4554111000006118","162892000","2667241014","^ESCTON455411","","On examination - respiratory distress",,1,
"253896011","162896002","253896011","2328","2328.00","O/E - stertorous breathing",,1,
"4554191000006111","162896002","2667740011","^ESCTON455419","","On examination - stertorous breathing",,1,
"253913015","162908006","253909010","234Z","234Z.00","O/E - breathing method NOS",,1,
"253909010","162908006","253909010","234","234..00","O/E - breathing method",,1,
"4554381000006110","162908006","2666382016","^ESCTON455438","","On examination - breathing method",,1,
"253910017","162909003","253910017","2341","2341.00","O/E - abdominal breathing",,1,
"4554401000006110","162909003","2666383014","^ESCTON455440","","On examination - abdominal breathing",,1,
"253911018","162910008","253911018","2342","2342.00","O/E - thoracic breathing",,1,
"4554421000006117","162910008","2666384015","^ESCTON455442","","On examination - thoracic breathing",,1,
"253912013","162911007","253912013","2343","2343.00","O/E - mouth breathing",,1,
"4554441000006112","162911007","2666385019","^ESCTON455444","","On examination - mouth breathing",,1,
"11905211000006119","162913005","253916011","^ESCT1190521","","O/E - breathing rate",,1,
"253929011","162920003","253929011","2362","2362.00","O/E - shallow breathing",,1,
"4554591000006116","162920003","2668356018","^ESCTON455459","","On examination - shallow breathing",,1,
"253960011","162949006","253960011","23B","23B..00","O/E - breath sounds",,1,
"253967014","162949006","253960011","23BZ","23BZ.00","O/E - breath sounds NOS",,1,
"4555131000006111","162949006","2668413010","^ESCTON455513","","On examination - breath sounds",,1,
"253961010","162950006","253961010","23B1","23B1.00","O/E - breath sounds normal",,1,
"4555151000006116","162950006","2668414016","^ESCTON455515","","On examination - breath sounds normal",,1,
"4555171000006114","162951005","2475506018","^ESCTON455517","","On examination - tubular breathing",,1,
"273881000006117","162951005","253962015","23B3","23B3.00","O/E - tubular breathing",,1,
"253962015","162951005","253962015","23B2","23B2.00","O/E - bronchial breathing",,1,
"4555181000006112","162951005","2668415015","^ESCTON455518","","On examination - bronchial breathing",,1,
"4555201000006113","162954002","2475507010","^ESCTON455520","","On examination - amphoric breathing",,1,
"253965018","162954002","253965018","23B5","23B5.00","O/E - cavernous breathing",,1,
"291761000006114","162954002","253965018","23B4","23B4.00","O/E - amphoric breathing",,1,
"4555211000006111","162954002","2668416019","^ESCTON455521","","On examination - cavernous breathing",,1,
"254307013","163177005","254294012","257Z","257Z.00","O/E - breath smell NOS",,1,
"254294012","163177005","254294012","257","257..00","O/E - breath smell",,1,
"254295013","163177005","254295013","257-1","257..11","O/E - smell of breath",,1,
"4559181000006114","163177005","2667382012","^ESCTON455918","","On examination - breath smell",,1,
"254296014","163178000","254296014","2571","2571.00","O/E - breath smell normal",,1,
"4559201000006110","163178000","2667383019","^ESCTON455920","","On examination - breath smell normal",,1,
"254297017","163179008","254297017","2572","2572.00","O/E - breath smell unpleasant",,1,
"4559221000006117","163179008","2668222014","^ESCTON455922","","On examination - breath smell unpleasant",,1,
"254298010","163180006","254298010","2573-1","2573.11","O/E - bad breath",,1,
"254300010","163180006","254300010","2573","2573.00","O/E-breath offensive-halitosis",,1,
"4559261000006111","163180006","2667877012","^ESCTON455926","","On examination - breath offensive-halitosis",,1,
"254301014","163181005","254301014","2574","2574.00","O/E - breath sweet - acetone",,1,
"4559281000006118","163181005","2667878019","^ESCTON455928","","On examination - breath sweet - acetone",,1,
"4559301000006119","163182003","254302019","^ESCTOE455930","","O/E - breath urinose - uremic",,1,
"254303012","163182003","254303012","2575","2575.00","O/E - breath urinose - uraemic",,1,
"4559311000006116","163182003","2667879010","^ESCTON455931","","On examination - breath urinose - uremic",,1,
"254304018","163183008","254304018","2576","2576.00","O/E - breath musty - hepatic",,1,
"4559331000006110","163183008","2667880013","^ESCTON455933","","On examination - breath musty - hepatic",,1,
"254305017","163184002","254305017","2577","2577.00","O/E - breath - alcohol smell",,1,
"254306016","163184002","254306016","2577-1","2577.11","O/E - alcoholic breath",,1,
"4559361000006118","163184002","2667881012","^ESCTON455936","","On examination - breath - alcohol smell",,1,
"256352014","164790002","256352014","3166","3166.00","Breath test",,1,
"371381000000111","164790002","256352014","7P13z","7P13z00","Breath tests NOS",,1,
"1559721000006118","164790002","256352014","7P13","7P13.00","Breath tests",,1,
"371361000000119","164790002","256352014","7P13y","7P13y00","Other specified breath tests",,1,
"4585291000006113","164791003","134561000000116","^ESCTHE458529","","Helicobacter pylor breath test",,1,
"484981000000114","164791003","256353016","7P134","7P13400","Helicobacter pylori breath test",,1,
"260949018","167986000","260949018","4E13","4E13.00","Sputum examination: abnormal",,,1
"260954010","167991004","260954010","4E22","4E22.00","Sputum: excessive - mucoid",,,1
"260955011","167992006","260955011","4E25","4E25.00","Sputum: frothy/watery",,,1
"12451331000006110","167992006","260955011","^ESCT1245133","","Sputum: frothy/watery",,,1
"260965017","168001007","260965017","4E36","4E36.00","Sputum: pus cells present",,,1
"261494012","168378007","261494012","4JM0","4JM0.00","Helicobacter breath test positive",,1,
"261495013","168379004","261495013","4JM1","4JM1.00","Helicobacter breath test negative",,1,
"12715901000006115","16881000000103","17231000000119","^ESCT1271590","","MRC coronary prevention trial",,1,
"17231000000119","16881000000103","17231000000119","9Q1","9Q1..00","MRC coronary prevention trial",,1,
"12715911000006117","16891000000101","17251000000114","^ESCT1271591","","MRC treatment phase",,1,
"17251000000114","16891000000101","17251000000114","9Q12","9Q12.00","MRC treatment phase",,1,
"12715921000006113","16901000000100","17271000000117","^ESCT1271592","","MRC treatment lost to follow-up",,1,
"17281000000115","16901000000100","17271000000117","9Q14","9Q14.00","MRC treatment lost to followup",,1,
"12758921000006112","16901000000100","17281000000115","^ESCT1275892","","MRC treatment lost to followup",,1,
"1707321000006115","1707321000006104","1707321000006115","EMISNQET3","","Ethanol measurement, breath",,1,
"1709271000006116","1709271000006100","1709271000006116","EMISNQCO55","","Copious sputum",,,1
"1709281000006118","1709281000006102","1709281000006118","EMISNQMO18","","Moderate sputum",,,1
"1709301000006119","1709301000006103","1709301000006119","EMISNQSC8","","Scanty sputum",,,1
"1709311000006116","1709311000006100","1709311000006116","EMISNQBR19","","Brown sputum",,,1
"1709321000006112","1709321000006108","1709321000006112","EMISNQWH2","","White sputum",,,1
"1709331000006110","1709331000006106","1709331000006110","EMISNQCO56","","Cough on exercise",1,,
"1709491000006116","1709491000006100","1709491000006116","EMISNQAC12","","Active cycle of breathing technique",,1,
"1748881000006119","1748881000006103","1748881000006119","ALLERGY45378NEMIS","","Adverse reaction to Hiline Breathable",,1,
"1749761000006111","1749761000006107","1749761000006111","EMISNQAU22","","AusTOMs learning & knowledge: client distress/wellbeing score",,1,
"1749771000006116","1749771000006100","1749771000006116","EMISNQAU23","","AusTOMs learning & knowledge: carer distress/wellbeing score",,1,
"1749821000006112","1749821000006108","1749821000006112","EMISNQAU28","","AusTOMs walk & mobility: client distress/wellbeing score",,1,
"1749831000006110","1749831000006106","1749831000006110","EMISNQAU29","","AusTOMs walk & mobility: carer distress/wellbeing score",,1,
"1749881000006111","1749881000006107","1749881000006111","EMISNQAU34","","AusTOMs upper limb use: client distress/wellbeing score",,1,
"1749891000006114","1749891000006105","1749891000006114","EMISNQAU35","","AusTOMs upper limb use: carer distress/wellbeing score",,1,
"1749941000006110","1749941000006106","1749941000006110","EMISNQAU40","","AusTOMs life tasks & routines: client distress/welbeing score",,1,
"1749951000006112","1749951000006108","1749951000006112","EMISNQAU41","","AusTOMs life tasks & routines: carer distress/wellbeing score",,1,
"1750001000006118","1750001000006102","1750001000006118","EMISNQAU46","","AusTOMs transfers: client distress/wellbeing score",,1,
"1750011000006115","1750011000006104","1750011000006115","EMISNQAU47","","AusTOMs transfers: carer distress/wellbeing score",,1,
"1750061000006117","1750061000006101","1750061000006117","EMISNQAU52","","AusTOMs using transport: client distress/wellbeing score",,1,
"1750071000006112","1750071000006108","1750071000006112","EMISNQAU53","","AusTOMs using transport: carer distress/wellbeing score",,1,
"1750121000006112","1750121000006108","1750121000006112","EMISNQAU58","","AusTOMs self care: client distress/wellbeing score",,1,
"1750131000006110","1750131000006106","1750131000006110","EMISNQAU59","","AusTOMs self care: carer distress/wellbeing score",,1,
"1750181000006111","1750181000006107","1750181000006111","EMISNQAU64","","AusTOMs domestic life - home: client distress/wellbeing score",,1,
"1750191000006114","1750191000006105","1750191000006114","EMISNQAU65","","AusTOMs domestic life - home: carer distress/wellbeing score",,1,
"1750241000006114","1750241000006105","1750241000006114","EMISNQAU70","","AusTOMs domestic life-resources: client distress/wellbeing score",,1,
"1750251000006111","1750251000006107","1750251000006111","EMISNQAU71","","AusTOMs domestic life-resources: carer distress/wellbeing score",,1,
"1750301000006116","1750301000006100","1750301000006116","EMISNQAU76","","AusTOMs relationships: client distress/wellbeing score",,1,
"1750311000006118","1750311000006102","1750311000006118","EMISNQAU77","","AusTOMs relationships: carer distress/wellbeing score",,1,
"1750361000006115","1750361000006104","1750361000006115","EMISNQAU82","","AusTOMs work & education: client distress/wellbeing score",,1,
"1750371000006110","1750371000006106","1750371000006110","EMISNQAU83","","AusTOMs work & education: carer distress/wellbeing score",,1,
"1750421000006115","1750421000006104","1750421000006115","EMISNQAU88","","AusTOMs life & leisure: client distress/wellbeing score",,1,
"1750431000006117","1750431000006101","1750431000006117","EMISNQAU89","","AusTOMs life & leisure: carer distress/wellbeing score",,1,
"1759571000006112","1759571000006108","1759571000006112","EMISNQAD36","","Adverse reaction to drug desensitisation therapy - dyspnoea",,1,
"1761521000006116","1761521000006100","1761521000006116","EMISNQMO33","","Modified shuttle walk test - Borg breathlessness score at rest",,1,
"1761541000006111","1761541000006107","1761541000006111","EMISNQMO34","","Modified shuttle walk test - Borg breathlessness score end test",,1,
"1763631000006115","1763631000006104","1763631000006115","EMISNQCO111","","Cough with physiotherapy",1,,
"1763711000006118","1763711000006102","1763711000006118","EMISNQMO38","","Mod. shuttle walk test-objective breathlessness at start of test",,1,
"1763721000006114","1763721000006105","1763721000006114","EMISNQMO39","","Mod. shuttle walk test-objective breathlessness at end of test",,1,
"1780331000006117","1780331000006101","1780331000006117","EMISNQDA11","","Daytime cough",1,,
"30371011","17986004","30371011","171K","171K.00","Barking cough",1,,
"1803511000006110","1803511000006106","1803511000006110","EMISREQ|4E3..","4E3..00","Test request : Sputum microscopy",,,1
"1807841000006119","1807841000006103","1807841000006119","EMISNQOE22","","O/E - dyspnoea at rest",,1,
"1807851000006117","1807851000006101","1807851000006117","EMISNQOE23","","O/E - dyspnoea on exertion",,1,
"1819551000006111","1819551000006107","1819551000006111","JHCHI13","","History of productive cough",1,,
"1127841000000113","1820004","1127841000000113","4I91-1","4I91.11","Breath alcohol level",,1,
"1127851000000111","1820004","1127851000000111","4I91","4I91.00","Breath ethanol level",,1,
"2527511000006114","1820004","2765182018","^ESCTET252751","","Ethanol measurement, breath",,1,
"2527521000006118","1820004","4147011","^ESCTAL252752","","Alcohol measurement, breath",,1,
"1831781000006116","1831781000006100","1831781000006116","JHCPH19","","Physiotherapy treatment modality: breathing exercises",,1,
"1834111000006114","1834111000006105","1834111000006114","EMISNQDA17","","Dark green sputum",,,1
"1834121000006118","1834121000006102","1834121000006118","EMISNQPA168","","Pale green sputum",,,1
"1834611000006117","1834611000006101","1834611000006117","EMISNQDY3","","Dyspnoea, airflow obstn, smoking stat, exacerbatn freq index",,1,
"1838091000006112","1838091000006108","1838091000006112","EMISNQOT8","","Other sputum isolate identified",,,1
"1852781000006114","1852781000006105","1852781000006114","JHCDV10","","DVA compensation determination legislation - MRCA",,1,
"1852931000006110","1852931000006106","1852931000006110","JHCDV25","","DVA compensation MRCA impairment points",,1,
"1857341000006118","1857341000006102","1857341000006118","ALLERGY78241NEMIS","","Adverse reaction to Ultrabreathe",,1,
"1857611000006112","1857611000006108","1857611000006112","EMISNQSU57","","Subjective breathlessness score at end of exercise test",,1,
"1857671000006115","1857671000006104","1857671000006115","EMISNQSU58","","Subjective breathlessness score at start of exercise test",,1,
"1861171000006111","1861171000006107","1861171000006111","EMISNQBR36","","Breathlessness causing difficulty eating",,1,
"1861181000006114","1861181000006105","1861181000006114","EMISNQBR37","","Breathlessness causing anxiety",,1,
"1864271000006119","1864271000006103","1864271000006119","EMISREQ|4JM..","4JM..00","Test request : Helicobacter breath test",,1,
"1878131000006112","1878131000006108","1878131000006112","ALLERGY81481NEMIS","","Adverse reaction to Colobreathe",,1,
"1893001000006119","1893001000006103","1893001000006119","EMISNQAB9","","Able to complete a sentence in one breath",,1,
"1909981000006119","1909981000006103","1909981000006119","ALLERGY89272NEMIS","","Adverse reaction to Free Breath",,1,
"1913061000006112","1913061000006108","1913061000006112","JHCDV34","","DVA compensation determination - determining authority - MRCC",,1,
"1913151000006114","1913151000006105","1913151000006114","JHCDV36","","DVA compensation determination - VRB/MRCC claim number",,1,
"295349016","191954008","295349016","E2611","E261100","Psychogenic cough",1,,
"4766181000006112","191956005","295353019","^ESCTPS476618","","Psychogenic overbreathing",,1,
"479311018","19282004","479311018","171L","171L.00","Cough on exercise",1,,
"1935491000006116","1935491000006100","1935491000006116","EMISNQCO240","","Cough stress test positive",1,,
"1943631000033118","1943631000033102","1943631000033118","DRGA78241NEMIS","","Ultrabreathe",,1,
"301103013","195717003","301103013","H0603","H060300","Acute purulent bronchitis",,,1
"301456017","195953005","301456017","H313","H313.00","Mixed simple and mucopurulent chronic bronchitis",,,1
"1964611000006115","1964611000006104","1964611000006115","EMISNQIP4","","IPOS-5 staff score:degree pt affect by breathlessness last 3 day",,1,
"1964621000006111","1964621000006107","1964621000006111","EMISNQIP5","","IPOS-5 staff score: breathlessness last 3 days - cannot assess",,1,
"1964891000006112","1964891000006108","1964891000006112","EMISNQEQ11","","Equipment in use - positive pressure breathing ventilator",,1,
"1970531000006111","1970531000006107","1970531000006111","EMISNQCO268","","COPD assessment test score - cough",1,,
"1970561000006119","1970561000006103","1970561000006119","EMISNQCO271","","COPD assessment test score - breathless walking up hill/stairs",,1,
"1979061000006119","1979061000006103","1979061000006119","JHCFI39","","Fit for Emergency Breathing System training (EBST)",,1,
"1981131000006118","1981131000006102","1981131000006118","EMISNQKE253","","Keele TAPS trial - comorbidity, distress & frailty assessed",,1,
"1984321000006116","1984321000006100","1984321000006116","EMISNQMA154","","Manchester triage - Shortness of breath in adult",,1,
"1984331000006118","1984331000006102","1984331000006118","EMISNQMA155","","Manchester triage - Shortness of breath in child",,1,
"4798191000006112","199592004","3011268014","^ESCTFO479819","","Foetal distress - delivered",,1,
"306682018","199592004","306682018","L2631","L263100","Fetal distress - delivered",,1,
"4798211000006113","199593009","3011011015","^ESCTFO479821","","Foetal distress with antenatal problem",,1,
"306683011","199593009","306683011","L2632","L263200","Fetal distress with antenatal problem",,1,
"307533019","200099005","307533019","L3901","L390100","Maternal distress - delivered",,1,
"307534013","200100002","307534013","L3902","L390200","Maternal distress - delivered with postnatal problem",,1,
"307535014","200101003","307535014","L3903","L390300","Maternal distress with antenatal problem",,1,
"307536010","200102005","307536010","L3904","L390400","Maternal distress with postnatal problem",,1,
"2001181000006113","2001181000006109","2001181000006113","JHCMH107","","MHIP risk factor - level of distress",,1,
"2001731000006113","2001731000006109","2001731000006113","EMISNQCO284","","CORE-OM - Global Distress average score",,1,
"2007881000006113","2007881000006109","2007881000006113","ALLERGY122953NEMIS","","Adverse reaction to Ami Medical Suportx Breathable Black",,1,
"2007991000006115","2007991000006104","2007991000006115","ALLERGY122958NEMIS","","Adverse reaction to Ami Medical Suportx Breathable White",,1,
"2008011000006111","2008011000006107","2008011000006111","ALLERGY123024NEMIS","","Adverse reaction to Ami Medical Suportx Breathable Easy Peel Black",,1,
"2008031000006117","2008031000006101","2008031000006117","ALLERGY122955NEMIS","","Adverse reaction to Ami Medical Suportx Breathable Skin",,1,
"2008051000006112","2008051000006108","2008051000006112","ALLERGY123059NEMIS","","Adverse reaction to Ami Medical Suportx Breathable Easy Peel White",,1,
"2008081000006116","2008081000006100","2008081000006116","ALLERGY123039NEMIS","","Adverse reaction to Ami Medical Suportx Breathable Easy Peel Skin",,1,
"2010801000006119","2010801000006103","2010801000006119","JHCOH72","","OH respiratory questionnaire: have to stop for breath walking own pace level ground - Yes",,1,
"2010811000006116","2010811000006100","2010811000006116","JHCOH73","","OH respiratory questionnaire: have to stop for breath walking own pace level ground - No",,1,
"2010821000006112","2010821000006108","2010821000006112","JHCOH74","","OH respiratory questionnaire: cough when run fast - Yes",1,,
"2010881000006111","2010881000006107","2010881000006111","JHCOH80","","OH respiratory questionnaire: cough when climb stairs fast - Yes",1,,
"2010961000006114","2010961000006105","2010961000006114","JHCOH88","","OH respiratory questionnaire: sleep ever broken by difficulty in breathing - Yes",,1,
"2010971000006119","2010971000006103","2010971000006119","JHCOH89","","OH respiratory questionnaire: sleep ever broken by difficulty in breathing - No",,1,
"2011001000006117","2011001000006101","2011001000006117","JHCOH92","","OH respiratory questionnaire: wake up ever with difficulty in breathing - Yes",,1,
"2011011000006119","2011011000006103","2011011000006119","JHCOH93","","OH respiratory questionnaire: wake up ever with difficulty in breathing - No",,1,
"2011101000006118","2011101000006102","2011101000006118","JHCOH102","","OH respiratory questionnaire: cough first thing in morning in winter - Yes",1,,
"2011121000006111","2011121000006107","2011121000006111","JHCOH104","","OH respiratory questionnaire: usually cough during the day - Yes",1,,
"2011141000006116","2011141000006100","2011141000006116","JHCOH106","","OH respiratory questionnaire: usually cough during the night - Yes",1,,
"2011161000006117","2011161000006101","2011161000006117","JHCOH108","","OH respiratory questionnaire: usually cough in winter - Yes",1,,
"2011181000006110","2011181000006106","2011181000006110","JHCOH110","","OH respiratory questionnaire: cough most days as much as 3 months/year - Yes",1,,
"2011301000006115","2011301000006104","2011301000006115","JHCOH122","","OH respiratory questionnaire: increased cough/phlegm > 3 weeks in past 3 years - Yes",1,,1
"2011321000006113","2011321000006109","2011321000006113","JHCOH124","","OH respiratory questionnaire: > 1 cough/phlegm episode in past 3 years - Yes",1,,1
"2011631000006118","2011631000006102","2011631000006118","JHCOH155","","OH monitoring report - Asbestos: wears breathing protection at work - Yes",,1,
"2011641000006111","2011641000006107","2011641000006111","JHCOH156","","OH monitoring report - Asbestos: wears breathing protection at work - No",,1,
"2011651000006113","2011651000006109","2011651000006113","JHCOH157","","OH monitoring report - Asbestos: wears breathing protection at work - Sometimes",,1,
"2011661000006110","2011661000006106","2011661000006110","JHCOH158","","OH monitoring report - Asbestos: number of years used breathing protection",,1,
"2012131000033117","2012131000033101","2012131000033117","DRGA81481NEMIS","","Colobreathe",,1,
"2013101000006119","2013101000006103","2013101000006119","JHCON12","","On examination no dyspnoea present",,1,
"4836671000006113","206260003","2793210017","^ESCTFO483667","","Foetal distress before labour - liveborn",,1,
"316267011","206260003","2793211018","Q212","Q212.00","Liveborn with prelabour foetal distress",,1,
"316277013","206260003","316265015","Q212z","Q212z00","Liveborn with prelabour fetal distress NOS",,1,
"4836631000006110","206260003","316265015","^ESCTLI483663","","Liveborn with prelabor fetal distress",,1,
"4836641000006117","206260003","316266019","^ESCTFE483664","","Fetal distress before labor - liveborn",,1,
"4836651000006115","206260003","316267011","^ESCTLI483665","","Liveborn with prelabour fetal distress",,1,
"316268018","206260003","316268018","Q212-1","Q212.11","Fetal distress before labour - liveborn",,1,
"894201000006110","206260003","894201000006110","Q212-99","Q212.99","Fetal distress - prelabour",,1,
"4836791000006119","206266009","2793395011","^ESCTFO483679","","Foetal distress in labour - liveborn",,1,
"4836741000006111","206266009","2793396012","^ESCTLI483674","","Liveborn with labour foetal distress",,1,
"316288019","206266009","316278015","Q213z","Q213z00","Liveborn with labour fetal distress NOS",,1,
"316278015","206266009","316278015","Q213","Q213.00","Liveborn with labour fetal distress",,1,
"316279011","206266009","316279011","Q213-1","Q213.11","Fetal distress in labour - liveborn",,1,
"4836771000006115","206266009","316280014","^ESCTLI483677","","Liveborn with labor fetal distress",,1,
"4836781000006117","206266009","316281013","^ESCTFE483678","","Fetal distress in labor - liveborn",,1,
"894211000006113","206266009","894211000006113","Q213-99","Q213.99","Fetal distress - in labour",,1,
"2098131000033115","2098131000033104","2098131000033115","DRGA89272NEMIS","","Free Breath",,1,
"481328013","2237002","481328013","1827","1827.00","Painful breathing -pleurodynia",,1,
"4991651000006114","229294007","343670017","^ESCTAC499165","","ACBT - Active cycle of breathing technique",,1,
"343671018","229294007","343671018","8E92","8E92.00","Active cycle of breathing technique",,1,
"4991721000006113","229298005","343678012","^ESCTBC499172","","BC - Breathing control technique",,1,
"369461000000119","230141000000103","369461000000119","7P133","7P13300","Urea breath test",,1,
"344917018","230145002","344917018","1738","1738.00","Difficulty breathing",,1,
"5004081000006113","230145002","344919015","^ESCTDI500408","","DIB - Difficulty in breathing",,1,
"371401000000111","231111000000107","371401000000111","7P130","7P13000","C14 urea helicobacter pylori breath test",,1,
"2324331000033115","2324331000033104","2324331000033115","DRGA122953NEMIS","","Ami Medical Suportx Breathable Black",,1,
